id	area	period	mean	ratio	positive
Goiania	Control	0	5.9	0.8332	0
Etelvina_Carneiro	Control	0	5.5	0.842	0
Pindorama	Control	0	6.9	0.8557	0
Leonina	Control	0	3	0.8653	0
Parque_S_Pedro	Control	0	8.3	0.8954	0
Saudade	Control	0	5.6	0.9079	0
Aguas_Claras	Control	0	9.121	0.9081	0
Confisco	Control	0	10	0.9117	0
D_Silverio	Control	0	7	0.9226	0
Vila_Novo_S_Lucas	Control	0	2.1	0.9286	0
Nova_Gameleira	Control	0	3.4	0.9406	0
Esperanca	Control	0	4.3	0.9414	0
S_Salvador	Control	0	7.6	0.9428	0
Jardim_Leblon	Control	0	11.2	0.9487	0
Itaipu	Control	0	9.2	0.9557	0
Camargos	Control	0	2.7	0.9607	0
Vila_Maria	Control	0	5.5	0.9651	0
Sta_Cruz	Control	0	5.021	0.9775	0
Juliana	Control	0	6.558	0.9887	0
Paraiso	Control	0	5.396	0.9954	0
Universitario	Control	0	10.916	0.9992	0
Vila_Vista_Alegre	Control	0	1.9073	0.9995	0
Tupi_B	Control	0	2.449	1.0384	1
Jonas_Veiga	Control	0	5.2	1.0385	1
Jardim_Vitoria	Control	0	12.1	1.044	1
Conj_Taquaril	Control	0	2.9	1.0483	1
Sta_Maria	Control	0	5.1	1.0576	1
Conj_Cap_Eduardo	Control	0	7.8	1.0579	1
Vista_Alegre	Control	0	7.3	1.0614	1
Lagoa	Control	0	6.37	1.0633	1
Serra_Verde	Control	0	4.2	1.0686	1
S_Gabriel	Control	0	7.2	1.1043	1
Nova_Cintra	Control	0	7.8	1.136	1
Venda_Nova	Control	0	10.1	1.1449	1
Madre_Gertrudes	Control	0	3.5	1.158	1
Jardim_Comerciarios	Control	0	3.9	1.1741	1
Ceu_Azul	Control	0	4.8	1.1765	1
Copacabana	Control	0	2.7	1.1819	1
Leticia	Control	0	4.3	1.2023	1
Coqueiros	Control	0	7.9	1.2071	1
Maria_Virginia	Control	0	2.5	1.2152	1
Flavio_Oliveira	Control	0	1.2	1.2233	1
Frei_Leopoldo	Control	0	1.9	1.2237	1
Piratininga	Control	0	2.7	1.2641	1
Atila_P_cluster	Control	0	2.2	1.2809	1
Novo_Gloria	Control	0	3	1.288	1
Ouro_Minas	Control	0	8	1.2948	1
S_Paulo	Control	0	12	1.3117	1
Apolonia	Control	0	0.6	1.3267	1
Alpes	Control	0	3.4	1.3347	1
